Date        West     East     DMI(=West-East)
1897:9:16:0 -0.0125527 0.156805 -0.169358
1897:10:16:0 -0.235834 0.494231 -0.730065
1897:11:16:0 -0.495551 0.128079 -0.62363
1897:12:16:0 -0.378199 0.130929 -0.509128
1898:1:16:0 -0.410059 -0.0518292 -0.358229
1898:2:16:0 -0.398663 -0.142604 -0.256059
1898:3:16:0 -0.541231 -0.380159 -0.161072
1898:4:16:0 -0.351985 -0.181173 -0.170812
1898:5:16:0 -0.38865 -0.125952 -0.262698
1898:6:16:0 -0.431266 -0.219451 -0.211816
1898:7:16:0 -0.392496 0.0936362 -0.486133
1898:8:16:0 -0.466397 0.0387336 -0.505131
1898:9:16:0 -0.457206 0.0370309 -0.494237
1898:10:16:0 -0.439883 0.0875003 -0.527384
1898:11:16:0 -0.55273 -0.171729 -0.381001
1898:12:16:0 -0.542634 -0.304421 -0.238213
1899:1:16:0 -0.695423 -0.472453 -0.22297
1899:2:16:0 -0.6466 -0.544704 -0.101896
1899:3:16:0 -0.56515 -0.564196 -0.000953436
1899:4:16:0 -0.443982 -0.512725 0.0687438
1899:5:16:0 -0.317241 -0.447359 0.130118
1899:6:16:0 -0.517201 -0.354803 -0.162398
1899:7:16:0 -0.472371 -0.225282 -0.247089
1899:8:16:0 -0.425138 -0.288578 -0.136561
1899:9:16:0 -0.778578 -0.251597 -0.526981
1899:10:16:0 -0.220235 -0.178432 -0.0418022
1899:11:16:0 -0.337754 -0.172123 -0.165631
1899:12:16:0 -0.377539 0.134454 -0.511993
1900:1:16:0 -0.196019 0.0869456 -0.282965
1900:2:16:0 0.075232 0.188588 -0.113356
1900:3:16:0 -0.135982 0.160265 -0.296247
1900:4:16:0 0.0701353 0.190408 -0.120273
1900:5:16:0 0.0459879 -0.0146192 0.060607
1900:6:16:0 0.0465158 -0.1234 0.169916
1900:7:16:0 -0.0336954 -0.0338974 0.000202082
1900:8:16:0 -0.174223 0.00639389 -0.180617
1900:9:16:0 -0.124414 0.0212211 -0.145636
1900:10:16:0 -0.203992 -0.158883 -0.0451093
1900:11:16:0 -0.0834336 -0.156323 0.0728893
1900:12:16:0 -0.132375 0.272822 -0.405197
1901:1:16:0 -0.0552256 0.298526 -0.353751
1901:2:16:0 -0.497102 0.182209 -0.679311
1901:3:16:0 -0.455855 0.0979099 -0.553765
1901:4:16:0 -0.265516 0.0510633 -0.316579
1901:5:16:0 -0.2988 0.0321793 -0.33098
1901:6:16:0 -0.481373 -0.0831591 -0.398214
1901:7:16:0 -0.64455 -0.253915 -0.390636
